,xl,yl,xr,yr
19,1.8741742027072759,1.3108710135363804,1.2858257972927243,-1.6308710135363802
20,1.9741742027072764,1.2908710135363803,1.3858257972927235,-1.6508710135363802
21,2.0583281572999748,1.2758048651498612,1.5216718427000253,-1.6758048651498612
22,2.0358036190637776,1.2838398097015558,1.7641963809362222,-1.7038398097015557
23,2.258085776380912,1.2525575464759258,1.8019142236190877,-1.7125575464759257
24,2.2745682197806096,1.2548186373673196,2.02543178021939,-1.7348186373673196
25,2.5021320343559643,1.22492424049175,2.0778679656440358,-1.74492424049175
26,2.5350447483271057,1.2255817282523724,2.304955251672894,-1.7655817282523725
27,2.7660521018838122,1.1984168150705017,2.393947898116188,-1.7784168150705018
28,2.9321320343559645,1.17492424049175,2.507867965644036,-1.79492424049175
29,3.065261871351096,1.1597259064843142,2.714738128648904,-1.8197259064843143
30,3.2356472891122694,1.1408256020104282,2.9043527108877303,-1.8408256020104283
31,3.415261871351096,1.1197259064843141,3.0647381286489046,-1.8597259064843144
32,3.5870271767770645,1.101758179382109,3.272972823222936,-1.8817581793821092
33,3.856598480958036,1.0595908857482157,3.3634015190419637,-1.8995908857482156
34,3.9592555785314985,1.0525557853149838,3.6607444214685017,-1.9325557853149837
35,4.23266980709997,1.0162452520664484,3.8273301929000305,-1.9562452520664484
36,4.452510679395368,0.9834045293024463,4.007489320604633,-1.9834045293024463
37,4.585803619063778,0.9738398097015557,4.314196380936222,-2.0138398097015555
38,4.876052101883813,0.9384168150705015,4.503947898116188,-2.0384168150705015
39,5.11266980709997,0.9062452520664485,4.70733019290003,-2.0662452520664485
40,5.455931381168002,0.8384706296064074,4.844068618831999,-2.0984706296064073
41,5.6932710904751875,0.7930096704709709,5.126728909524813,-2.153009670470971
42,6.064444888279956,0.6944460295712727,5.255555111720044,-2.1944460295712727
43,6.319999999999999,0.6200000000000002,5.480000000000001,-2.2600000000000002
44,6.607163590655676,0.5286362207989862,5.6928364093443244,-2.328636220798986
45,6.846132494537061,0.45819716906258057,5.993867505462939,-2.4181971690625805
46,7.08,0.3899999999999999,6.24,-2.49
47,7.356132494537061,0.3081971690625809,6.503867505462939,-2.5681971690625804
48,7.533803437554499,0.26521375021799787,6.806196562445501,-2.645213750217998
49,7.816443238175589,0.1919953472487015,7.063556761824412,-2.7119953472487017
50,8.094444888279957,0.11444602957127237,7.285555111720043,-2.7744460295712727
51,8.344444888279956,0.04444602957127297,7.535555111720045,-2.844446029571273
52,8.5838034375545,-0.014786249782002159,7.8561965624455015,-2.925213750217998
53,8.86996021017181,-0.09157636221899557,8.090039789828191,-2.9884236377810045
54,9.172081691846069,-0.17771407853876564,8.34791830815393,-3.0622859214612346
55,9.406443238175589,-0.23800465275129845,8.65355676182441,-3.1419953472487014
56,9.71889349718872,-0.32401107269088913,8.92110650281128,-3.2159889273091107
57,9.91429363309631,-0.3632963788838861,9.285706366903689,-3.296703621116114
58,10.240391307151963,-0.4368384968984398,9.579608692848037,-3.3631615031015603
59,10.50429363309631,-0.493296378883886,9.875706366903689,-3.426703621116114
60,10.700497051278855,-0.5108993269494375,10.339502948721144,-3.4891006730505625
61,11.018245580136528,-0.553158148976048,10.621754419863473,-3.526841851023952
62,11.233567429232771,-0.5629211322756673,11.04643257076723,-3.557078867724333
63,11.546573416996948,-0.5831120365473128,11.353426583003051,-3.5768879634526876
64,11.74,-0.5800000000000001,11.74,-3.58
65,12.06,-0.5800000000000001,12.06,-3.58
66,12.28646270423138,-0.5709557184786755,12.39353729576862,-3.5690442815213244
67,12.553426583003052,-0.5531120365473126,12.746573416996949,-3.5468879634526873
68,12.770200314548603,-0.5285362691202864,13.089799685451396,-3.5114637308797136
69,13.080744421468502,-0.4974442146850162,13.379255578531499,-3.4825557853149838
70,13.389192471727032,-0.47409836831493646,13.610807528272968,-3.4659016316850635
71,13.686796862576932,-0.4535545073655254,13.893203137423066,-3.4464454926344743
72,14.028306586240332,-0.44089100096961875,14.131693413759669,-3.439108999030381
73,14.239192471727032,-0.4240983683149364,14.460807528272968,-3.4159016316850632
74,14.564482509235178,-0.4110277493498493,14.67551749076482,-3.4089722506501507
75,14.82022148421434,-0.39332226321508656,15.01977851578566,-3.3866777367849132
76,15.12022148421434,-0.37332226321508655,15.31977851578566,-3.3666777367849137
77,15.446462704231381,-0.3609557184786758,15.553537295768619,-3.3590442815213244
78,15.686796862576932,-0.3435545073655255,15.893203137423066,-3.336445492634475
79,15.969988936960412,-0.3165486609110679,16.250011063039587,-3.303451339088932
80,16.19504390429445,-0.28406830613478773,16.604956095705546,-3.2559316938652123
81,16.471151341763072,-0.239138318931029,16.94884865823693,-3.2008616810689707
82,16.753567197424722,-0.18569171959851705,17.30643280257528,-3.134308280401483
83,16.989155576590367,-0.1292381853873108,17.67084442340963,-3.0507618146126894
84,17.24388163462257,-0.05602358976915145,18.056118365377426,-2.9439764102308486
85,17.54178470770407,0.03051934013043689,18.37821529229593,-2.850519340130437
86,17.83826957187801,0.12716677783161723,18.761730428121993,-2.7271667778316173
87,18.213881634622574,0.23397641023084859,19.026118365377428,-2.6539764102308485
88,18.596438440284068,0.33273939889527404,19.34356155971593,-2.5727393988952745
89,18.905323891311838,0.41714573185659853,19.694676108688164,-2.4771457318565986
90,19.258534204320856,0.5152768644449107,20.061465795679144,-2.3752768644449107
91,19.63659996156774,0.6077751585330567,20.343400038432257,-2.307775158533057
92,20.045825797292725,0.6908710135363805,20.634174202707275,-2.2508710135363805
93,20.395825797292726,0.7608710135363803,20.984174202707276,-2.1808710135363802
94,20.88925352602195,0.8278224970287756,21.270746473978047,-2.1478224970287756
